energy,protein,carbs,sugar,added_sugar,fat,sat_fat,trans_fat,fiber,sodium,msg,sweeteners,artificial_colors,processed_oils,ultra_processed,score
473.0,5.8,59.9,38.4,38.2,23.4,23.0,0.05,0,93.5,0,0,0,0,0,50
45.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
138.0,0.0,36.0,33.0,0.0,0.0,0.0,0.0,0,123.0,0,0,0,0,0,80
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
373.0,9.0,81.0,27.5,27.0,3.0,1.2,0.0,0,250.0,0,0,0,1,0,55
531.0,7.9,60.4,57.0,47.4,29.0,19.6,0.1,0,129.0,0,0,0,0,0,50
246.0,4.4,27.6,24.5,19.4,13.5,8.4,0.4,0,46.0,0,0,0,0,0,65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
28.0,0.0,7.0,6.8,6.8,0.0,0.0,0.0,0,32.0,0,0,0,0,1,85
376.0,7.4,84.3,20.1,14.6,2.5,0.7,0.0,0,224.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,2,1,65
28.0,0.0,6.9,6.8,6.8,0.0,0.0,0.0,0,24.0,0,0,0,0,0,100
432.0,7.0,72.0,30.5,30.0,14.0,4.8,0.0,0,300.0,0,0,0,1,0,55
560.0,9.7,52.7,46.7,38.1,35.2,19.1,0.1,0,104.0,0,0,0,0,0,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,0,95
277.0,3.7,24.5,17.2,13.6,16.2,10.8,0.3,0,31.0,0,0,0,0,1,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
3.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,0,95
0.0,9.4,61.2,2.1,0.0,0.0,9.5,0.2,0,1380.0,0,0,0,0,1,70
0.0,9.4,61.6,1.8,0.0,0.0,9.4,0.2,0,1280.0,0,0,0,0,1,70
44.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,1,80
407.0,11.1,71.0,2.2,1.2,9.0,1.8,0.0,0,117.0,0,0,0,0,1,90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,75
28.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0,53.0,0,0,0,0,1,85
543.0,7.6,58.5,55.3,45.9,31.2,21.5,0.1,0,125.0,0,0,0,0,0,50
436.0,7.7,71.0,26.5,16.9,14.7,4.3,0.0,0,170.0,0,0,0,1,0,55
243.0,4.8,31.9,23.1,19.0,10.7,6.7,0.2,0,132.0,0,0,0,0,0,65
378.0,6.7,86.9,9.2,8.0,1.0,0.6,0.0,0,490.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0,95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,90
262.0,4.1,27.0,17.4,14.1,15.5,10.1,0.2,0,25.0,0,0,0,0,0,90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
45.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0,35.0,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,1,1,65
259.0,5.2,23.1,20.7,13.0,16.5,7.6,0.4,0,46.0,0,0,0,0,1,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
28.5,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0,280.0,0,2,0,0,0,95
407.0,11.8,68.5,1.8,0.0,9.5,1.9,0.0,0,9.5,0,0,0,0,0,100
3.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,0,95
203.0,2.9,20.0,16.4,13.5,12.5,8.1,0.23,0,45.0,0,0,0,0,0,100
464.0,9.6,59.7,14.6,0.0,0.0,0.0,0.0,0,528.0,0,0,0,1,1,70
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
425.4,13.5,68.1,0.0,0.0,0.0,3.5,0.0,0,206.5,0,0,0,0,0,100
33.0,0.0,8.2,5.96,5.96,0.0,0.0,0.0,0,19.44,0,0,0,0,0,100
3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,0,95
444.0,7.7,71.4,26.9,19.0,15.5,6.8,0.0,0,227.0,0,0,0,0,1,50
224.5,3.3,18.9,18.4,13.25,15.08,9.2,0.28,0,45.5,0,0,0,0,0,100
545.0,5.5,60.7,51.1,51.1,31.2,27.1,0.0,0,0.0,0,0,0,0,1,35
0.0,0.0,0.0,12.83,4.13,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
194.0,6.8,41.7,0.9,0.5,0.3,0.0,0.0,0,65.6,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,1,1,65
400.0,9.3,76.3,19.7,8.5,6.4,1.0,0.0,0,154.7,0,0,0,1,0,90
563.0,6.0,56.9,48.9,42.7,34.8,22.3,0.2,0,207.0,0,0,0,1,0,40
