energy,protein,carbs,sugar,added_sugar,fat,sat_fat,trans_fat,fiber,sodium,msg,sweeteners,colors,processed_oils,ultra_processed
454.0,7.0,75.0,27.0,25.0,14.0,6.0,0.0,0.0,302.0,0,0,0,0,0
496.0,6.6,69.2,18.5,0.0,21.4,10.1,0.1,0.0,0.0,0,0,0,0,0
0.0,7.9,68.8,8.4,7.8,0.0,0.0,0.0,0.0,891.0,0,0,0,0,0
481.0,6.8,69.0,25.5,24.1,20.1,10.1,0.08,0.0,270.1,0,0,0,0,0
500.0,7.0,68.5,30.2,27.7,22.0,12.9,0.0,0.0,204.0,0,0,0,0,0
438.0,6.4,47.4,35.1,28.9,24.8,24.5,0.04,0.0,97.4,0,0,0,0,0
433.0,4.0,66.0,37.0,37.0,17.0,13.0,0.0,0.0,185.0,0,0,0,0,0
0.0,4.7,64.9,37.1,26.9,0.0,0.0,0.0,0.0,115.0,0,0,0,0,0
495.0,7.7,68.9,7.7,0.0,21.0,9.9,0.0,0.0,0.0,0,0,0,0,0
493.0,11.0,63.0,13.6,0.0,23.4,9.6,0.0,6.8,314.0,0,0,0,0,0
492.0,8.1,70.2,18.6,17.3,19.9,9.7,0.0,7.7,224.0,0,0,0,0,0
463.0,10.0,72.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0,0,0,0,0
487.0,7.0,72.0,19.4,18.5,19.0,9.0,0.0,0.0,458.0,0,0,0,0,0
0.0,7.0,60.0,10.0,0.0,26.0,13.0,0.0,0.0,0.0,0,0,0,0,0
445.0,7.9,79.5,21.2,20.8,10.6,5.1,0.0,0.0,316.0,0,0,0,0,0
445.0,7.9,79.5,21.2,20.8,10.6,5.1,0.0,0.0,316.0,0,0,0,0,0
509.0,6.7,67.3,20.5,20.3,23.7,11.6,0.0,0.0,220.0,0,0,0,0,0
483.0,9.3,68.0,12.7,12.1,20.8,10.3,0.0,6.7,362.0,0,0,0,0,0
493.0,5.0,71.0,30.0,0.0,21.0,7.5,0.0,0.0,0.0,0,0,0,0,0
0.0,6.0,66.0,24.0,0.0,20.0,9.0,0.0,0.0,0.0,0,0,0,0,0
486.0,7.4,70.0,24.0,23.0,19.5,9.4,0.0,0.0,309.0,0,0,0,0,0
0.0,7.9,68.8,8.4,7.8,0.0,0.0,0.0,0.0,891.0,0,0,0,0,0
512.0,6.1,68.0,32.0,31.4,24.0,14.1,0.0,0.0,200.0,0,0,0,0,0
487.0,7.0,72.0,19.5,18.5,19.0,9.0,0.0,0.0,466.0,0,0,0,0,0
105.0,1.4,12.9,10.0,0.0,5.1,0.0,0.0,0.0,0.0,0,0,0,0,0
493.0,8.0,68.0,14.5,0.0,21.0,10.0,0.0,6.0,0.0,0,0,0,0,0
467.0,6.4,73.4,38.4,0.0,16.5,8.6,0.1,0.0,0.0,0,0,0,0,0
0.0,6.8,70.5,19.6,19.1,0.0,0.0,0.0,0.0,371.0,0,0,0,0,0
0.0,7.3,79.3,25.5,23.6,0.0,0.0,0.0,0.0,255.0,0,0,0,0,0
454.0,7.0,75.0,27.0,25.0,14.0,6.0,0.0,0.0,302.0,0,0,0,0,0
454.0,6.9,77.3,25.5,25.0,13.0,6.0,0.0,0.0,296.0,0,0,0,0,0
471.0,8.3,72.0,23.1,21.6,17.8,8.8,0.0,5.3,287.0,0,0,0,0,0
479.0,5.4,73.5,36.4,34.2,18.2,8.8,0.1,0.0,93.2,0,0,0,0,0
441.0,4.0,68.0,34.0,25.0,17.0,12.0,0.0,0.0,214.0,0,0,0,0,0
507.0,7.3,61.1,35.7,33.9,27.3,12.7,0.1,0.0,181.5,0,0,0,0,0
449.0,7.3,79.3,25.5,23.6,11.4,5.5,0.0,0.0,255.0,0,0,0,0,0
463.0,6.0,76.0,30.5,27.6,15.0,8.0,0.0,0.0,274.0,0,0,0,0,0
0.0,5.4,63.9,33.1,26.3,0.0,0.0,0.0,0.0,146.8,0,0,0,0,0
0.0,5.4,63.9,33.1,26.3,0.0,0.0,0.0,0.0,146.8,0,0,0,0,0
